name	wikipedia_url	yelp_url	review_count	rating	street	city	zip	fulladdress	phone	website	suggested	fee	free	membership	Sunday	Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	effective_hours	closed_until	twitter_url	facebook_url	youtube_url	blog_url	flickr_url	photography	lat	lng
Museum of the Moving Image	http://en.wikipedia.org/wiki/Museum_of_the_Moving_Image_(New_York_City)	http://yelp.com/biz/museum-of-the-moving-image-astoria	50	4.5	35th Ave and 37th Street	Queens	11106	35th Ave and 37th Street, Queens 11106	(718) 777-6888	http://www.movingimage.us		10	5:1600-2000	75	1030-1900		1030-1700	1030-1700	1030-1700	1030-2000	1030-1900			http://twitter.com/MovingImageNYC	http://www.facebook.com/MovingImageMuseum				Yes	40.7560218	-73.9237149
Bronx Museum of the Arts	http://en.wikipedia.org/wiki/Bronx_Museum_of_the_Arts	http://yelp.com/biz/bronx-museum-of-the-arts-bronx	14	4	1040 Grand Concourse	Bronx	10456	1040 Grand Concourse, Bronx 10456	(718) 681-6000	http://www.bronxmuseum.org/		5	6:1100-1800	50	1100-1800				1100-1800	1100-2000	1100-1800									40.8309686	-73.9200877
Bronx Zoo	http://en.wikipedia.org/wiki/Bronx_Zoo	http://yelp.com/biz/bronx-zoo-bronx	167	4.5	2300 Southern Blvd	Bronx	10460	2300 Southern Blvd, Bronx 10460	(718) 220-5100	http://www.bronxzoo.com		16	3:1000-1700	83	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1101-0401		http://twitter.com/TheBronxZoo	http://www.facebook.com/bronxzoo	http://www.youtube.com/wcsmedia				40.850193	-73.882499
New York Botanical Garden	http://en.wikipedia.org/wiki/New_York_Botanical_Garden	http://yelp.com/biz/new-york-botanical-garden-bronx	62	4.5	2900 Southern Blvd	Bronx	10458	2900 Southern Blvd, Bronx 10458	(718) 817-8700	http://www.nybg.org		6	3:1000-1500|6:1000-1200	75	1000-1500		1000-1500	1000-1500	1000-1500	1000-1500	1000-1500	0111-0304		http://www.twitter.com/nybg/	http://www.facebook.com/pages/Bronx-NY/The-New-York-Botanical-Garden/14800539662					40.8584691	-73.8810376
Wave Hill	http://en.wikipedia.org/wiki/Wave_Hill_(New_York)	http://yelp.com/biz/wave-hill-bronx-2	36	4.5	675 West 252nd St	Bronx	10462	675 West 252nd St, Bronx 10462	(718) 549-3200	http://www.wavehill.org		8	2:0900-1200;*Free all day on non-peak months|6:0900-1200	40	0900-1630		0900-1630	0900-1630	0900-1630	0900-1630	0900-1630	1015-0414		http://twitter.com/wavehill	http://www.facebook.com/WaveHill	http://www.youtube.com/user/wavehillvideo	http://wavehillblog.wordpress.com/feed	http://www.flickr.com/groups/wavehillphotos	Yes	40.9001348	-73.9111979
Coney Island USA	http://en.wikipedia.org/wiki/Coney_Island_USA	http://yelp.com/biz/coney-island-museum-brooklyn	7	3	1208 Surf Ave	Brooklyn	11224	1208 Surf Ave, Brooklyn 11224	(718) 372-5159	http://www.coneyisland.com/museum.shtml		0.99		35	1200-1700						1200-1700		20110301-20110331							40.5755218	-73.9797896
New York Aquarium	http://en.wikipedia.org/wiki/New_York_Aquarium	http://yelp.com/biz/the-new-york-aquarium-brooklyn	82	3	Boardwalk & W 8th St	Brooklyn	11201	Boardwalk & W 8th St, Brooklyn 11201	(718) 265-3400	http://www.nyaquarium.com		13	5:1500-1630	83	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1101-0401			http://www.facebook.com/nyaquarium					40.5772419	-73.9763113
Prospect Park Zoo	http://en.wikipedia.org/wiki/Prospect_Park_Zoo	http://yelp.com/biz/prospect-park-zoo-brooklyn	31	4	450 Flatbush Ave	Brooklyn	11225	450 Flatbush Ave, Brooklyn 11225	(718) 399-7339	http://www.prospectparkzoo.org		8		83	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1000-1630	1101-0401			http://www.facebook.com/profile.php?id=55965822396					40.6646033	-73.964374
Brooklyn Botanic Garden	http://en.wikipedia.org/wiki/Brooklyn_Botanic_Garden	http://yelp.com/biz/brooklyn-botanic-garden-brooklyn-2	171	4.5	1000 Washington Ave	Brooklyn	11225	1000 Washington Ave, Brooklyn 11225	(718) 623-7200	http://www.bbg.org																				40.667582	-73.961889
Brooklyn Museum	http://en.wikipedia.org/wiki/Brooklyn_Children%27s_Museum	http://yelp.com/biz/brooklyn-museum-brooklyn-2	156	4.5	200 Eastern Pkwy	Brooklyn	11238	200 Eastern Pkwy, Brooklyn 11238	(718) 638-5000	http://www.brooklynmuseum.org	TRUE	10	6:1100-1800;1*Open until 11PM on First Sat.		1100-1800			1100-1800	1100-2200	1100-2200	1100-1800			http://twitter.com/brooklynmuseum	http://www.facebook.com/brooklynmuseum	http://www.youtube.com/user/brooklynmuseum	http://www.brooklynmuseum.org/community/blogosphere/	http://www.flickr.com/photos/brooklyn_museum/		40.6715611	-73.9624313
