wiki_name	yelp_name	url	reviews	rating	street	city	zip	phone	website
American Folk Art Museum	American Folk Art Museum	/biz/american-folk-art-museum-new-york	31	4	45 W 53rd St	New York	10019	(212) 265-1040	http://www.folkartmuseum.org
Art in General	Art In General	/biz/art-in-general-new-york			79 Walker Street Fl 6	New York	10013	(212) 219-0473	
Asia Society	The Asia Society	/biz/the-asia-society-new-york	2	4.5	725 Park Ave	New York	10021	(212) 327-9211	
Asian American Arts Centre	Asian American Arts Centre	/biz/asian-american-arts-centre-new-york			26 Bowery	New York	10013	(212) 233-2154	
Brooklyn Museum	Brooklyn Museum	/biz/brooklyn-museum-brooklyn-2	156	4.5	200 Eastern Pkwy	Brooklyn	11238	(718) 638-5000	http://www.brooklynmuseum.org
Bronx Museum of the Arts	Bronx Museum of the Arts	/biz/bronx-museum-of-the-arts-bronx	14	4	1040 Grand Concourse	Bronx	10456	(718) 681-6000	http://www.bronxmuseum.org/
Chelsea Art Museum	The Chelsea Art Museum	/biz/the-chelsea-art-museum-new-york	10	4	556 West 22nd Street	New York	10011	(212) 255-0719	http://chelseaartmuseum.org
China Institute in America	China Institute In America	/biz/china-institute-in-america-new-york	4	3.5	125 E 65th St	New York	10021	(212) 744-8181	
Dahesh Museum of Art	Dahesh Museum Inc	/biz/dahesh-museum-inc-new-york	3	3.5	580 Madison Ave	New York	10022	(212) 759-0606	
The Drawing Center	The Drawing Center	/biz/the-drawing-center-new-york	2	4.5	35 Wooster St	New York	10013	(212) 219-2166	
Fisher Landau Center	Fisher Landau Center For Art	/biz/fisher-landau-center-for-art-long-island-city			3827 30th St	Long Island City	11101	(718) 937-0727	http://www.flcart.org
Forbes Galleries	Forbes Magazine Galleries	/biz/forbes-magazine-galleries-new-york	6	3.5	60 Fifth Avenue	New York	10079	(212) 206-5549	http://www.forbesgalleries.com
Frick Collection	Frick Collection	/biz/frick-collection-new-york	131	5	1 E 70th St	New York	10021	(212) 288-0700	http://www.frick.org
International Center of Photography	International Center of Photography	/biz/international-center-of-photography-new-york	44	3.5	1133 Ave of the Americas	New York	10036	(212) 857-0000	http://www.icp.org
International Print Center New York	International Print Center New York	/biz/international-print-center-new-york-new-york			526 W 26th St Rm 824	New York	10001	(212) 989-5090	http://www.ipcny.org
Jacques Marchais Museum of Tibetan Art	Jacques Marchais Museum of Tibetan Art	/biz/jacques-marchais-museum-of-tibetan-art-staten-island	3	5	338 Lighthouse Ave	Staten Island	10306	(718) 987-3500	http://www.tibetanmuseum.org/
Japan Society	Japan Society	/biz/japan-society-new-york-2	18	4	333 E 47th St	New York	10017	(212) 832-1155	http://www.japansociety.org
Korea Society	The Korea Society	/biz/the-korea-society-new-york			950 3rd Ave8th Fl	New York	10022	(212) 759-7525	http://www.koreasociety.org
Metropolitan Museum of Art	Metropolitan Museum Of Art	/biz/metropolitan-museum-of-art-new-york	719	5	1000 5th Ave	New York	10028	(212) 535-7710	http://www.metmuseum.org
The Cloisters	The Cloisters	/biz/the-cloisters-new-york-2	180	4.5	Fort Tryon Park99 Margaret Corbin Dr	New York	10040	(212) 923-3700	http://www.metmuseum.org/cloisters/
Municipal Art Society	Municipal Art Society the Information Exchange	/biz/municipal-art-society-the-information-exchange-new-york			457 Madison Ave	New York	10022	(212) 980-1297	
Museum for African Art	Museum For African Art	/biz/museum-for-african-art-long-island-city	1	4	3601 43rd Avenue	Long Island City	11101	(718) 784-7700	http://www.africanart.org
Museum of Arts & Design	Museum of Arts and Design	/biz/museum-of-arts-and-design-new-york-2	42	4	2 Columbus Cir	New York	10019	(212) 299-7777	http://madmuseum.org
Museum of Biblical Art	Museum of Biblical Art	/biz/museum-of-biblical-art-new-york	5	4	1865 Broadway	New York	10023	(212) 408-1500	http://www.mobia.org/
Museum of Comic and Cartoon Art	Museum Of Comic & Cartoon Art	/biz/museum-of-comic-and-cartoon-art-new-york-2	14	4	594 BroadwaySte 401	New York	10012	(212) 254-3511	http://www.moccany.org
Museum of Modern Art	Museum of Modern Art	/biz/museum-of-modern-art-new-york	592	4.5	11 W 53rd St	New York	10019	(212) 708-9400	http://www.moma.org
Museum of the Moving Image	Museum Of The Moving Image	/biz/museum-of-the-moving-image-astoria	50	4.5	3601 35th Ave	Astoria	11106	(718) 777-6888	http://www.movingimage.us
National Museum of Catholic Art and History	National Museum of Catholic Art & History - CLOSED	/biz/national-museum-of-catholic-art-and-history-new-york			443 E 115th St	New York	10029	(212) 828-5209	
Neue Galerie	Neue Galerie New York	/biz/neue-galerie-new-york-new-york	55	4	1048 5th Ave	New York	10028	(212) 628-6200	http://www.neuegalerie.org
New Museum of Contemporary Art	New Museum of Contemporary Art	/biz/new-museum-of-contemporary-art-new-york-2	90	3	235 Bowery St	New York	10002	(212) 219-1222	http://www.newmuseum.org
Nicholas Roerich Museum	Nicholas Roerich Museum	/biz/nicholas-roerich-museum-new-york	2	5	319 W 107th Street	New York	10025	(212) 864-7752	http://www.roerich.org
The Noguchi Museum	The Noguchi Museum	/biz/the-noguchi-museum-long-island-city	39	4.5	9-01 33rd Rd	Long Island City	11106	(718) 204-7088	http://www.noguchi.org
P.S. 1 Contemporary Art Center	Museum of Modern Art	/biz/moma-ps1-long-island-city	114	4	22-25 Jackson Ave	Long Island City	11101	(718) 784-2084	http://www.ps1.org
Queens Museum of Art	Queens Museum of Art	/biz/queens-museum-of-art-queens	22	4.5	NYC BuildingFlushing Meadows Corona Park	Queens	11368	(718) 592-9700	http://www.queensmuseum.org
Rubin Museum of Art	Rubin Museum Of Art	/biz/rubin-museum-of-art-new-york	64	4.5	150 W 17th St	New York	10011	(212) 620-5000	http://www.rmanyc.org
SculptureCenter	Sculpture Center	/biz/sculpture-center-long-island-city-2	5	4	4419 Purves St	Long Island City	11101	(718) 361-1750	http://www.sculpture-center.org
Socrates Sculpture Park	Socrates Sculpture Park	/biz/socrates-sculpture-park-astoria	56	4	3205 Vernon Blvd	Astoria	11106	(718) 626-1533	http://www.socratessculpturepark.org/
Solomon R. Guggenheim Museum	Guggenheim Museum	/biz/guggenheim-museum-new-york	263	3.5	1071 5th Ave	New York	10128	(212) 423-3500	http://www.guggenheim.org
Studio Museum in Harlem	Atrium Cafe at The Studio Museum in Harlem	/biz/studio-museum-harlem-new-york	10	4	144 W 125th St	New York	10027	(212) 864-4500	http://www.studiomuseum.org
Williamsburg Art & Historical Center	Williamsburg Art & Historical Center	/biz/williamsburg-art-and-historical-center-brooklyn			135 Broadway	Brooklyn	11211	(718) 486-7372	
White Columns	White Columns	/biz/white-columns-new-york	1	5	320 W 13th Street	New York	10014	(212) 924-4212	http://www.whitecolumns.org/
Whitney Museum of American Art	Whitney Museum of American Art	/biz/whitney-museum-of-american-art-new-york	110	4	945 Madison Ave	New York	10021	(212) 570-3600	http://www.whitney.org
American Museum of Natural History	American Museum of Natural History	/biz/american-museum-of-natural-history-new-york	450	4.5	Central Park W at 79th St	New York	10024	(212) 769-5100	http://www.amnh.org
Brooklyn Historical Society	Brooklyn Historical Society	/biz/brooklyn-historical-society-brooklyn	2	4	128 Pierrepont St	Brooklyn	11201	(718) 222-4111	
Brooklyn Museum	Brooklyn Museum	/biz/brooklyn-museum-brooklyn-2	156	4.5	200 Eastern Pkwy	Brooklyn	11238	(718) 638-5000	http://www.brooklynmuseum.org
Casa Belvedere	Casa Belvedere Incorporated	/biz/casa-belvedere-incorporated-staten-island			77 Howard Ave	Staten Island	10301	(718) 273-7660	
China Institute in America	China Institute In America	/biz/china-institute-in-america-new-york	4	3.5	125 E 65th St	New York	10021	(212) 744-8181	
Conference House	Conference House Association Inc	/biz/conference-house-association-inc-staten-island	1	5	70 Satterlee St	Staten Island	10307	(718) 984-6046	
Center for Jewish History	The Center For Jewish History	/biz/the-center-for-jewish-history-new-york	1	4	15 W 16th Street	New York	10011	(917) 661-4041	
Coney Island USA	Coney Island Circus Sideshow	/biz/coney-island-museum-brooklyn	7	3	1208 Surf Ave	Brooklyn	11224	(718) 372-5159	http://www.coneyisland.com/museum.shtml
Discovery Times Square Exposition	Discovery Times Square Exposition	/biz/discovery-times-square-exposition-new-york	37	3	New York Times Bldg226 W 44th St	New York	10036	(888) 988-8692	http://discoverytsx.com/nyc/
Dyckman House Museum	Dyckman Farmhouse Museum	/biz/dyckman-farmhouse-museum-new-york	5	4	4881 Broadway	New York	10034	(212) 304-9422	http://www.dyckmanfarmhouse.org/
Fraunces Tavern Museum	Fraunces Tavern Museum	/biz/fraunces-tavern-museum-new-york	3	5	54 Pearl St Fl 2	New York	10004	(212) 425-1778	http://www.frauncestavernmuseum.org/
Greater Astoria Historical Society	Greater Astoria Historical Society	/biz/greater-astoria-historical-society-long-island-city			3520 Broadway	Long Island City	11106	(718) 278-0700	
Hispanic Society of America	Hispanic Society of America	/biz/hispanic-society-of-america-new-york	5	4.5	613 W 155th St	New York	10032	(212) 926-2234	http://www.hispanicsociety.org
Historic Richmond Town	Historic Richmond Town	/biz/historic-richmond-town-staten-island	3	4.5	441 Clarke Avenue	Staten Island	10306	(718) 351-1611	http://www.historicrichmondtown.org/
Intrepid Sea-Air-Space Museum	Intrepid Sea, Air & Space Museum	/biz/intrepid-sea-air-and-space-museum-new-york	61	4	W 46th St & 12th AvePier 86	New York	10036	(212) 245-0072	http://www.intrepidmuseum.org
Jewish Museum (New York)	The Jewish Museum	/biz/the-jewish-museum-new-york	31	4	1109 5th Ave	New York	10128	(212) 423-3200	http://www.thejewishmuseum.org
Louis Armstrong House	Louis Armstrong House Museum	/biz/louis-armstrong-house-museum-corona	4	5	3456 107th St	Corona	11368	(718) 478-8274	http://www.louisarmstronghouse.org
Merchant's House Museum	Merchant's House Museum	/biz/merchants-house-museum-new-york	15	4	29 E 4th St	New York	10003	(212) 777-1089	http://www.merchantshouse.org
El Museo del Barrio	El Museo Del Barrio	/biz/el-museo-del-barrio-new-york	21	4	1230 5th Ave	New York	10029	(212) 831-7272	http://www.elmuseo.org
Ellis Island Immigration Museum	Ellis Island Immigration Museum	/biz/ellis-island-immigration-museum-new-york	82	4.5	Ellis Island	New York	10004	(212) 363-6307	http://www.nps.gov/elis/index.htm
Madame Tussauds Wax Museum	Madame Tussauds New York	/biz/madame-tussauds-new-york-new-york	85	4	234 W 42nd St	New York	10036	(212) 512-9600	http://www.nycwax.com
Museum of American Finance	The Museum of American Finance	/biz/the-museum-of-american-finance-new-york	4	4	48 Wall St	New York	10005	(212) 908-4110	http://www.moaf.org
Museum of the City of New York	Museum of the City of New York	/biz/museum-of-the-city-of-new-york-new-york	46	4	1220 5th Ave	New York	10029	(212) 534-1672	http://www.mcny.org
Museum of the Moving Image	Museum Of The Moving Image	/biz/museum-of-the-moving-image-astoria	50	4.5	3601 35th Ave	Astoria	11106	(718) 777-6888	http://www.movingimage.us
Museum of Chinese in America	Museum of Chinese in America	/biz/museum-of-chinese-in-america-new-york	26	4	215 Centre St	New York	10013	(212) 619-4785	http://www.mocanyc.org/
Museum at Eldridge Street	The Museum at Eldridge Street	/biz/the-museum-at-eldridge-street-new-york	7	4.5	12 Eldridge St	New York	10002	(212) 219-0888	http://www.eldridgestreet.org
Museum of Jewish Heritage	Museum of Jewish Heritage	/biz/museum-of-jewish-heritage-new-york-2	17	4.5	36 Battery Pl	New York	10004	(212) 968-1800	http://www.mjhnyc.org/
Museum of Sex	Museum of Sex	/biz/museum-of-sex-new-york	194	3	233 5th Ave	New York	10016	(212) 689-6337	http://www.museumofsex.com
Museum of Television and Radio	Museum Of Television & Radio	/biz/museum-of-television-and-radio-new-york-2	1	4	25 W 52nd St Fl 6	New York	10019	(212) 621-6600	
National Museum of the American Indian	National Museum of the American Indian	/biz/national-museum-of-the-american-indian-new-york	26	4	1 Bowling Grn	New York	10004	(212) 514-3700	http://www.nmai.si.edu/
National Museum of Lesbian, Gay, Bisexual & Transgender History	The Lesbian, Gay, Bisexual & Transgender Community Center	/biz/the-lesbian-gay-bisexual-and-transgender-community-center-new-york	4	5	208 W 13th St	New York	10011	(212) 620-7310	http://www.gaycenter.org
Sports Museum of America	Metropolitan Museum Of Art	/biz/national-sports-museum-new-york			80 Broad Street	New York	10004	(212) 837-7950	
New York City Fire Museum	NYC Fire Museum	/biz/nyc-fire-museum-new-york	9	4.5	278 Spring Street	New York	10013	(212) 691-1303	http://www.nycfiremuseum.org
New York City Police Museum	New York City Police Museum	/biz/new-york-city-police-museum-new-york	18	3.5	100 Old Slip	New York	10005	(212) 480-3100	http://www.nycpm.org
New-York Historical Society	New York Historical Society	/biz/new-york-historical-society-new-york-2	26	4.5	170 Central Park W	New York	10024	(212) 873-3400	http://www.nyhistory.org
New York Transit Museum	New York Transit Museum	/biz/new-york-transit-museum-brooklyn	86	4.5	Boerum Pl and Schermerhorn St	Brooklyn	11201	(718) 694-1600	http://www.mta.info/mta/museum
The Paley Center for Media	Paley Center for Media	/biz/paley-center-for-media-new-york	23	3.5	25 W 52nd St	New York	10019	(212) 621-6880	http://www.mtr.org
Queens County Farm Museum	Queens County Farm Museum	/biz/queens-county-farm-museum-floral-park	23	4	73-50 Little Neck Pkwy	Floral Park	11004	(718) 347-3276	http://www.queensfarm.org
Ripley's Believe It or Not!	Ripley's Believe It or Not	/biz/ripleys-believe-it-or-not-new-york-2	39	3.5	234 W 42nd St	New York	10036	(212) 398-3133	http://www.ripleysnewyork.com
Skyscraper Museum	Skyscraper Museum	/biz/skyscraper-museum-new-york	12	2	39 Battery Pl	New York	10280	(212) 968-1961	http://www.skyscraper.org
Sony Wonder Technology Lab	Sony Wonder Technology Lab	/biz/sony-wonder-technology-lab-new-york	34	3	550 Madison Ave	New York	10022	(212) 833-8100	http://wondertechlab.sony.com
South Street Seaport Museum	South Street Seaport Museum	/biz/south-street-seaport-museum-new-york-2	2	2.5	12 Fulton St	New York	10038	(212) 748-8786	http://www.southstreetseaportmuseum.org
Yeshiva University Museum	Yeshiva University Museum	/biz/yeshiva-university-museum-manhattan	1	4	15 W 16th St	Manhattan	10011	(212) 294-8330	http://www.yu.edu/
Center for Architecture	Center for Architecture	/biz/center-for-architecture-new-york	2	4.5	536 LaGuardia Place	New York	10012	(212) 683-0023	http://www.aiany.org
Cooper-Hewitt, National Design Museum	Cooper-Hewitt Museum	/biz/cooper-hewitt-museum-new-york	62	3.5	2 East 91st St	New York	10128	(212) 849-8400	http://www.cooperhewitt.org
Fashion Institute of Technology	Fashion Institute of Technology	/biz/fashion-institute-of-technology-new-york-2	16	3.5	27th St & 7th Ave	New York	10001	(212) 217-7999	http://www.fitnyc.edu
National Academy of Design	National Academy of Design	/biz/national-academy-of-design-new-york			1083 5th Ave	New York	10128	(212) 369-4880	
Parsons The New School for Design	Parsons The New School For Design	/biz/parsons-the-new-school-for-design-new-york-4	10	3.5	65 5th Ave	New York	10003	(212) 229-5459	http://www.parsons.edu
American Museum of Natural History	American Museum of Natural History	/biz/american-museum-of-natural-history-new-york	450	4.5	Central Park W at 79th St	New York	10024	(212) 769-5100	http://www.amnh.org
